X_Acc,Y_Acc,Z_Acc,Sleep_Stage
X-Acceleration: 0.00 g, Y-Acceleration: 0.09 g, Z-Acceleration: 1.42 g,Sleep
X-Acceleration: 0.02 g, Y-Acceleration: 0.10 g, Z-Acceleration: 1.42 g,Sleep
X-Acceleration: 0.01 g, Y-Acceleration: 0.09 g, Z-Acceleration: 1.42 g,Sleep
X-Acceleration: 0.02 g, Y-Acceleration: 0.09 g, Z-Acceleration: 1.43 g,Sleep
X-Acceleration: 0.02 g, Y-Acceleration: 0.09 g, Z-Acceleration: 1.43 g,Sleep
X-Acceleration: 0.01 g, Y-Acceleration: 0.08 g, Z-Acceleration: 1.43 g,Sleep
X-Acceleration: 0.01 g, Y-Acceleration: 0.09 g, Z-Acceleration: 1.43 g,Sleep
X-Acceleration: 0.01 g, Y-Acceleration: 0.09 g, Z-Acceleration: 1.42 g,Sleep
X-Acceleration: 0.01 g, Y-Acceleration: 0.09 g, Z-Acceleration: 1.43 g,Sleep
X-Acceleration: -0.03 g, Y-Acceleration: 0.04 g, Z-Acceleration: 1.44 g,Sleep
X-Acceleration: 0.01 g, Y-Acceleration: 0.07 g, Z-Acceleration: 1.44 g,Sleep
X-Acceleration: 0.02 g, Y-Acceleration: 0.07 g, Z-Acceleration: 1.42 g,Sleep
X-Acceleration: 0.03 g, Y-Acceleration: 0.09 g, Z-Acceleration: 1.42 g,Sleep
X-Acceleration: 0.04 g, Y-Acceleration: 0.08 g, Z-Acceleration: 1.42 g,Sleep
X-Acceleration: 0.04 g, Y-Acceleration: 0.07 g, Z-Acceleration: 1.43 g,Sleep
X-Acceleration: 0.04 g, Y-Acceleration: 0.08 g, Z-Acceleration: 1.42 g,Sleep
X-Acceleration: 0.04 g, Y-Acceleration: 0.08 g, Z-Acceleration: 1.42 g,Sleep
X-Acceleration: 0.04 g, Y-Acceleration: 0.08 g, Z-Acceleration: 1.43 g,Sleep
X-Acceleration: 0.03 g, Y-Acceleration: 0.08 g, Z-Acceleration: 1.43 g,Sleep
X-Acceleration: 0.04 g, Y-Acceleration: 0.08 g, Z-Acceleration: 1.43 g,Sleep
X-Acceleration: 0.04 g, Y-Acceleration: 0.08 g, Z-Acceleration: 1.42 g,Sleep
X-Acceleration: 0.05 g, Y-Acceleration: 0.08 g, Z-Acceleration: 1.42 g,Sleep
X-Acceleration: 0.03 g, Y-Acceleration: 0.08 g, Z-Acceleration: 1.43 g,Sleep
X-Acceleration: 0.04 g, Y-Acceleration: 0.07 g, Z-Acceleration: 1.43 g,Sleep
X-Acceleration: 0.04 g, Y-Acceleration: 0.07 g, Z-Acceleration: 1.42 g,Sleep
X-Acceleration: 0.05 g, Y-Acceleration: 0.07 g, Z-Acceleration: 1.43 g,Sleep
X-Acceleration: 0.04 g, Y-Acceleration: 0.07 g, Z-Acceleration: 1.43 g,Sleep
X-Acceleration: 0.04 g, Y-Acceleration: 0.08 g, Z-Acceleration: 1.43 g,Sleep
X-Acceleration: 0.04 g, Y-Acceleration: 0.08 g, Z-Acceleration: 1.42 g,Sleep
X-Acceleration: 0.04 g, Y-Acceleration: 0.08 g, Z-Acceleration: 1.43 g,Sleep
X-Acceleration: 0.04 g, Y-Acceleration: 0.08 g, Z-Acceleration: 1.43 g,Sleep
X-Acceleration: 0.04 g, Y-Acceleration: 0.08 g, Z-Acceleration: 1.43 g,Sleep
X-Acceleration: 0.04 g, Y-Acceleration: 0.08 g, Z-Acceleration: 1.43 g,Sleep
X-Acceleration: 0.04 g, Y-Acceleration: 0.08 g, Z-Acceleration: 1.42 g,Sleep
X-Acceleration: 0.04 g, Y-Acceleration: 0.08 g, Z-Acceleration: 1.43 g,Sleep
X-Acceleration: 0.04 g, Y-Acceleration: 0.08 g, Z-Acceleration: 1.42 g,Sleep
X-Acceleration: 0.03 g, Y-Acceleration: 0.07 g, Z-Acceleration: 1.43 g,Sleep
X-Acceleration: 0.03 g, Y-Acceleration: 0.07 g, Z-Acceleration: 1.43 g,Sleep
X-Acceleration: 0.04 g, Y-Acceleration: 0.07 g, Z-Acceleration: 1.43 g,Sleep
X-Acceleration: 0.04 g, Y-Acceleration: 0.08 g, Z-Acceleration: 1.42 g,Sleep
X-Acceleration: 0.03 g, Y-Acceleration: 0.07 g, Z-Acceleration: 1.43 g,Sleep
X-Acceleration: 0.03 g, Y-Acceleration: 0.08 g, Z-Acceleration: 1.42 g,Sleep
X-Acceleration: 0.03 g, Y-Acceleration: 0.07 g, Z-Acceleration: 1.42 g,Sleep
X-Acceleration: 0.04 g, Y-Acceleration: 0.07 g, Z-Acceleration: 1.43 g,Sleep
X-Acceleration: 0.04 g, Y-Acceleration: 0.07 g, Z-Acceleration: 1.43 g,Sleep
X-Acceleration: 0.04 g, Y-Acceleration: 0.08 g, Z-Acceleration: 1.43 g,Sleep
X-Acceleration: 0.05 g, Y-Acceleration: 0.07 g, Z-Acceleration: 1.43 g,Sleep
X-Acceleration: 0.04 g, Y-Acceleration: 0.08 g, Z-Acceleration: 1.43 g,Sleep
X-Acceleration: 0.03 g, Y-Acceleration: 0.08 g, Z-Acceleration: 1.43 g,Sleep
